그라나다구역1, 그라나다, 그라나데, 199, 289324
리에다구역2, 리에다, 미네바, 15524, 308088
만토구역1, 만토, 미네바, 55, 413048
만토구역2, 만토, 미네바, 114, 545902
만토구역3, 만토, 미네바, 91, 409148
만토구역4, 만토, 미네바, 55, 455370
만토구역5, 만토, 미네바, 69, 333293
만토구역6, 만토, 미네바, 57, 524723
메가구역1, 메가, 미네바, 1181, 282024
메가구역2, 메가, 미네바, 736, 295588
메가구역3, 메가, 미네바, 396, 311666
메가구역4, 메가, 미네바, 309, 264472
메가구역5, 메가, 미네바, 148, 296439
메가구역6, 메가, 미네바, 173, 368608
메가구역7, 메가, 미네바, 796, 357213
모에바구역1, 모에바, 미네바, 373, 537388
모에바구역2, 모에바, 미네바, 260, 651521
모에바구역3, 모에바, 미네바, 911, 792092
모에바구역4, 모에바, 미네바, 5968, 364660
모에바구역5, 모에바, 미네바, 847, 399759
모에바구역6, 모에바, 미네바, 3277, 352677
미바나구역1, 미바나, 미네바, 706, 309237
미바나구역2, 미바나, 미네바, 2435, 362085
미바나구역3, 미바나, 미네바, 345, 350373
미바나구역4, 미바나, 미네바, 866, 340673
미바나구역5, 미바나, 미네바, 1947, 357245
미바나구역6, 미바나, 미네바, 717, 351070
미바나구역7, 미바나, 미네바, 1167, 396754
민마나구역1, 민마나, 미네바, 432, 394633
민마나구역2, 민마나, 미네바, 385, 396282
민마나구역3, 민마나, 미네바, 374, 442645
민마나구역4, 민마나, 미네바, 1345, 404422
솔바구역1, 솔바, 미네바, 181, 277472
솔바구역2, 솔바, 미네바, 116, 241972
솔바구역3, 솔바, 미네바, 20, 266154
솔바구역4, 솔바, 미네바, 56, 236969
솔바구역5, 솔바, 미네바, 205, 280760
솔바구역6, 솔바, 미네바, 29, 305376
솔바구역7, 솔바, 미네바, 11, 268706
솔바구역8, 솔바, 미네바, 21, 316145
솔바구역9, 솔바, 미네바, 35, 282232
솔바구역10, 솔바, 미네바, 11, 393933
솔바구역11, 솔바, 미네바, 66, 254906
솔바구역12, 솔바, 미네바, 11, 334799
솔바구역13, 솔바, 미네바, 52, 242210
솔바구역14, 솔바, 미네바, 102, 263578
솔바구역15, 솔바, 미네바, 97, 267508
아리나구역1, 아리나, 미네바, 78, 518436
아리나구역2, 아리나, 미네바, 99, 401955
아리나구역3, 아리나, 미네바, 302, 340743
아리나구역4, 아리나, 미네바, 161, 294169
아리나구역5, 아리나, 미네바, 78, 290281
아리나구역6, 아리나, 미네바, 213, 412099
아리나구역7, 아리나, 미네바, 506, 259823
아바나구역1, 아바나, 미네바, 1156, 321751
아바나구역2, 아바나, 미네바, 900, 337989
아바나구역3, 아바나, 미네바, 573, 424828
아바나구역4, 아바나, 미네바, 512, 488823
아바나구역5, 아바나, 미네바, 331, 546342
에디아다구역1, 에디아다, 미네바, 30323, 284463
코에가구역1, 코에가, 미네바, 1261, 683660
코에가구역2, 코에가, 미네바, 1440, 492048
코에가구역3, 코에가, 미네바, 512, 487869
코에가구역4, 코에가, 미네바, 382, 513667
코에가구역5, 코에가, 미네바, 439, 525097
코에가구역6, 코에가, 미네바, 1550, 384490
코에가구역7, 코에가, 미네바, 1211, 433994
나릴로구역1, 나릴로, 미치바, 33671, 230108
나릴로구역2, 나릴로, 미치바, 6964, 284616
메고이오구역1, 메고이오, 미치바, 39435, 254773
미츠비구역1, 미츠비, 미치바, 260, 602290
미츠비구역2, 미츠비, 미치바, 258, 582728
미츠비구역3, 미츠비, 미치바, 241, 599282
미츠비구역4, 미츠비, 미치바, 61, 1052319
미츠비구역5, 미츠비, 미치바, 35, 942848
미츠비구역6, 미츠비, 미치바, 108, 582022
미츠비구역7, 미츠비, 미치바, 196, 780291
미츠비구역8, 미츠비, 미치바, 251, 658734
미치바구역1, 미치바, 미치바, 949, 369189
미치바구역2, 미치바, 미치바, 4406, 420949
미치바구역3, 미치바, 미치바, 546, 533395
미치바구역4, 미치바, 미치바, 1333, 592624
미치바구역5, 미치바, 미치바, 1227, 610414
산시아고구역1, 산시아고, 미치바, 5872, 477295
산시아고구역2, 산시아고, 미치바, 31043, 251916
알고구역1, 알고, 미치바, 31745, 221314
우프레나구역1, 우프레나, 미치바, 229, 759565
우프레나구역2, 우프레나, 미치바, 277, 504199
우프레나구역3, 우프레나, 미치바, 4540, 399888
우프레나구역4, 우프레나, 미치바, 3961, 342543
우프레나구역5, 우프레나, 미치바, 16218, 273750
유프란구역1, 유프란, 미치바, 50235, 196218
마링고구역1, 마링고, 바니카-메고차, 35353, 157513
메고리구역1, 메고리, 바니카-메고차, 34012, 119857
미에고구역1, 미에고, 바니카-메고차, 715, 244913
미에고구역2, 미에고, 바니카-메고차, 563, 409445
미에고구역3, 미에고, 바니카-메고차, 352, 319488
미에고구역4, 미에고, 바니카-메고차, 457, 273053
민고구역1, 민고, 바니카-메고차, 56790, 225462
바니아구역1, 바니아, 바니카-메고차, 19364, 191788
이벤토구역1, 이벤토, 바니카-메고차, 54726, 188167
레링가구역1, 레링가, 베고차, 1300, 348034
레링가구역2, 레링가, 베고차, 445, 689026
레링가구역3, 레링가, 베고차, 4692, 315834
리안토구역1, 리안토, 베고차, 10911, 225486
리안토구역2, 리안토, 베고차, 7887, 212164
리안토구역3, 리안토, 베고차, 472, 542583
리안토구역4, 리안토, 베고차, 2619, 444994
리안토구역5, 리안토, 베고차, 1395, 418096
모반토구역1, 모반토, 베고차, 9447, 365371
모반토구역2, 모반토, 베고차, 928, 310360
모반토구역3, 모반토, 베고차, 4635, 362330
모반토구역4, 모반토, 베고차, 704, 410935
모반토구역5, 모반토, 베고차, 689, 387465
모반토구역6, 모반토, 베고차, 341, 530936
모반토구역7, 모반토, 베고차, 407, 379280
모반토구역8, 모반토, 베고차, 1150, 443036
모베이구역1, 모베이, 베고차, 11217, 253483
모베이구역2, 모베이, 베고차, 9096, 296883
모베이구역3, 모베이, 베고차, 4129, 403562
모베이구역4, 모베이, 베고차, 943, 698309
민마구역1, 민마, 베고차, 320, 691813
민마구역2, 민마, 베고차, 288, 700795
민마구역3, 민마, 베고차, 270, 877611
민마구역4, 민마, 베고차, 56, 1086861
민마구역5, 민마, 베고차, 93, 557493
민마구역6, 민마, 베고차, 588, 579625
민마구역7, 민마, 베고차, 382, 602454
바티아구역1, 바티아, 베고차, 655, 696663
바티아구역2, 바티아, 베고차, 50, 981252
바티아구역3, 바티아, 베고차, 194, 676737
바티아구역4, 바티아, 베고차, 118, 766911
오고소구역1, 오고소, 베고차, 3432, 227768
오고소구역2, 오고소, 베고차, 1428, 607861
오고소구역3, 오고소, 베고차, 7153, 300739
오고소구역4, 오고소, 베고차, 1788, 564981
오고소구역5, 오고소, 베고차, 2258, 526557
이베이구역1, 이베이, 베고차, 14793, 214074
이베이구역2, 이베이, 베고차, 1335, 417810
이베이구역3, 이베이, 베고차, 1976, 508246
테안타구역1, 테안타, 베고차, 58, 401608
테안타구역2, 테안타, 베고차, 213, 480485
테안타구역3, 테안타, 베고차, 15, 512442
테안타구역4, 테안타, 베고차, 35, 616927
테안타구역5, 테안타, 베고차, 113, 421794
테안타구역6, 테안타, 베고차, 111, 423559
테안타구역7, 테안타, 베고차, 155, 358521
트롱페이구역1, 트롱페이, 베고차, 4752, 261100
트롱페이구역2, 트롱페이, 베고차, 9438, 265441
트롱페이구역3, 트롱페이, 베고차, 1415, 407325
트롱페이구역4, 트롱페이, 베고차, 5265, 319537
페린구역1, 페린, 베고차, 4274, 302211
페린구역2, 페린, 베고차, 3011, 282801
페린구역3, 페린, 베고차, 3361, 431455
페린구역4, 페린, 베고차, 2328, 407657
페린구역5, 페린, 베고차, 4007, 414621
리에골구역1, 리에골, 세그레차, 776, 362015
리에골구역2, 리에골, 세그레차, 48238, 217578
메링골구역1, 메링골, 세그레차, 19423, 249851
미골구역1, 미골, 세그레차, 780, 316887
미골구역2, 미골, 세그레차, 7454, 271593
베아골구역1, 베아골, 세그레차, 46999, 199591
세골구역1, 세골, 세그레차, 485, 488874
세골구역2, 세골, 세그레차, 88, 635264
세골구역3, 세골, 세그레차, 740, 496350
세골구역4, 세골, 세그레차, 427, 542538
세골구역5, 세골, 세그레차, 661, 510186
키골구역1, 키골, 세그레차, 5844, 235032
키골구역2, 키골, 세그레차, 1823, 405969
페아골구역1, 페아골, 세그레차, 10278, 200113
페아골구역2, 페아골, 세그레차, 4909, 252783
하롱골구역1, 하롱골, 세그레차, 37143, 234837
메르네구역1, 메르네, 아이리카, 12982, 884359
메르네구역2, 메르네, 아이리카, 7680, 988628
메르네구역3, 메르네, 아이리카, 372, 1015245
메르네구역4, 메르네, 아이리카, 6052, 1069432
메르네구역5, 메르네, 아이리카, 374, 905218
메르네구역6, 메르네, 아이리카, 441, 991808
메르네구역7, 메르네, 아이리카, 254, 973594
메르네구역8, 메르네, 아이리카, 409, 983541
메르네구역9, 메르네, 아이리카, 237, 953592
메르네구역10, 메르네, 아이리카, 2130, 940754
메르네구역11, 메르네, 아이리카, 74, 1061817
메르네구역12, 메르네, 아이리카, 232, 943196
메르네구역13, 메르네, 아이리카, 1631, 920997
메르네구역14, 메르네, 아이리카, 249, 1063886
메르네구역15, 메르네, 아이리카, 4797, 888032
메르네구역16, 메르네, 아이리카, 1120, 1074070
메르네구역17, 메르네, 아이리카, 373, 1040208
메르네구역18, 메르네, 아이리카, 2555, 895938
메르네구역19, 메르네, 아이리카, 2592, 929542
메초오비카구역1, 메초오비카, 아이리카, 3364, 587683
메초오비카구역2, 메초오비카, 아이리카, 6206, 614930
메초오비카구역3, 메초오비카, 아이리카, 775, 595561
메초오비카구역4, 메초오비카, 아이리카, 81, 626045
메초오비카구역5, 메초오비카, 아이리카, 792, 546971
메초오비카구역6, 메초오비카, 아이리카, 146, 613528
메초오비카구역7, 메초오비카, 아이리카, 287, 592776
메초오비카구역8, 메초오비카, 아이리카, 103, 576279
메초오비카구역9, 메초오비카, 아이리카, 968, 532674
메초오비카구역10, 메초오비카, 아이리카, 40, 522845
메초오비카구역11, 메초오비카, 아이리카, 59, 569505
메초오비카구역12, 메초오비카, 아이리카, 43, 613275
메초오비카구역13, 메초오비카, 아이리카, 222, 609087
메초오비카구역14, 메초오비카, 아이리카, 216, 578320
메초오비카구역15, 메초오비카, 아이리카, 491, 547300
메초오비카구역16, 메초오비카, 아이리카, 656, 528148
메초오비카구역17, 메초오비카, 아이리카, 4779, 620770
메초오비카구역18, 메초오비카, 아이리카, 2891, 575436
메초오비카구역19, 메초오비카, 아이리카, 6212, 540896
메초오비카구역20, 메초오비카, 아이리카, 820, 575039
메초오비카구역21, 메초오비카, 아이리카, 358, 586391
메초오비카구역22, 메초오비카, 아이리카, 649, 523617
메초오비카구역23, 메초오비카, 아이리카, 336, 561109
메초오비카구역24, 메초오비카, 아이리카, 216, 521311
메초오비카구역25, 메초오비카, 아이리카, 32, 538738
메초오비카구역26, 메초오비카, 아이리카, 84, 556556
메초오비카구역27, 메초오비카, 아이리카, 61, 563890
메초오비카구역28, 메초오비카, 아이리카, 89, 592643
메초오비카구역29, 메초오비카, 아이리카, 318, 608433
메초오비카구역30, 메초오비카, 아이리카, 3025, 528170
메초오비카구역31, 메초오비카, 아이리카, 173, 589626
메초오비카구역32, 메초오비카, 아이리카, 747, 632351
메초오비카구역33, 메초오비카, 아이리카, 393, 607606
메초오비카구역34, 메초오비카, 아이리카, 443, 547949
메초오비카구역35, 메초오비카, 아이리카, 1576, 518081
메초오비카구역36, 메초오비카, 아이리카, 2771, 560147
메초오비카구역37, 메초오비카, 아이리카, 1759, 565079
메초오비카구역38, 메초오비카, 아이리카, 17795, 581326
메초오비카구역39, 메초오비카, 아이리카, 5439, 530078
메초오비카구역40, 메초오비카, 아이리카, 7914, 534882
메초오비카구역41, 메초오비카, 아이리카, 17054, 542804
아브레구역1, 아브레, 아이리카, 415, 776583
아브레구역2, 아브레, 아이리카, 8220, 757428
아브레구역3, 아브레, 아이리카, 150, 882682
아브레구역4, 아브레, 아이리카, 48, 747904
아브레구역5, 아브레, 아이리카, 252, 840625
아브레구역6, 아브레, 아이리카, 2407, 852845
아브레구역7, 아브레, 아이리카, 401, 810336
아브레구역8, 아브레, 아이리카, 294, 875106
아브레구역9, 아브레, 아이리카, 1262, 803987
아브레구역10, 아브레, 아이리카, 9557, 825703
아브레구역11, 아브레, 아이리카, 3615, 809984
아브레구역12, 아브레, 아이리카, 6166, 739040
아이리카구역1, 아이리카, 아이리카, 4618, 942288
아이리카구역2, 아이리카, 아이리카, 8341, 1030874
아이리카구역3, 아이리카, 아이리카, 2864, 1117216
아이리카구역4, 아이리카, 아이리카, 2696, 1081888
아이리카구역5, 아이리카, 아이리카, 1268, 975135
아이리카구역6, 아이리카, 아이리카, 2653, 993059
아이리카구역7, 아이리카, 아이리카, 346, 1088117
아이리카구역8, 아이리카, 아이리카, 571, 1064832
아이리카구역9, 아이리카, 아이리카, 247, 1003596
아이리카구역10, 아이리카, 아이리카, 1519, 958262
아이리카구역11, 아이리카, 아이리카, 370, 1105565
아이리카구역12, 아이리카, 아이리카, 1192, 1058944
아이리카구역13, 아이리카, 아이리카, 261, 1106646
아이리카구역14, 아이리카, 아이리카, 340, 1101196
아이리카구역15, 아이리카, 아이리카, 224, 987816
아이리카구역16, 아이리카, 아이리카, 1210, 1135469
아이리카구역17, 아이리카, 아이리카, 174, 948722
아이리카구역18, 아이리카, 아이리카, 297, 1131574
아이리카구역19, 아이리카, 아이리카, 181, 984540
아이리카구역20, 아이리카, 아이리카, 279, 1010157
아이리카구역21, 아이리카, 아이리카, 8090, 990081
아이리카구역22, 아이리카, 아이리카, 369, 1029833
아이리카구역23, 아이리카, 아이리카, 1141, 1037335
아이리카구역24, 아이리카, 아이리카, 278, 1121239
아이리카구역25, 아이리카, 아이리카, 1250, 1008674
아이리카구역26, 아이리카, 아이리카, 362, 1033718
아이리카구역27, 아이리카, 아이리카, 355, 974982
아이리카구역28, 아이리카, 아이리카, 461, 994199
아이리카구역29, 아이리카, 아이리카, 532, 1100261
아이리카구역30, 아이리카, 아이리카, 1032, 1038102
아이리카구역31, 아이리카, 아이리카, 588, 980810
아이리카구역32, 아이리카, 아이리카, 231, 1106080
아이리카구역33, 아이리카, 아이리카, 620, 1042170
아이리카구역34, 아이리카, 아이리카, 660, 1000920
아이리카구역35, 아이리카, 아이리카, 193, 953068
아이리카구역36, 아이리카, 아이리카, 4747, 1134638
아이리카구역37, 아이리카, 아이리카, 1252, 1055491
아이리카구역38, 아이리카, 아이리카, 2322, 1133281
츠비키구역1, 츠비키, 아이리카, 16955, 750893
츠비키구역2, 츠비키, 아이리카, 20516, 705278
츠비키구역3, 츠비키, 아이리카, 862, 803602
츠비키구역4, 츠비키, 아이리카, 254, 739238
츠비키구역5, 츠비키, 아이리카, 23, 789708
츠비키구역6, 츠비키, 아이리카, 75, 680263
츠비키구역7, 츠비키, 아이리카, 137, 790827
츠비키구역8, 츠비키, 아이리카, 112, 667010
츠비키구역9, 츠비키, 아이리카, 601, 718608
츠비키구역10, 츠비키, 아이리카, 1195, 768736
